"RK","PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"1","Saquon Barkley",PHI,"338.8","0","0","33","278","2","345","2005","13"
"2","Ja'Marr Chase",CIN,"339.5","0","0","127","1708","17","3","32","0"
"3","Bijan Robinson",ATL,"311.2","0","0","61","431","1","304","1456","14"
"4","Jahmyr Gibbs",DET,"336.9","0","0","52","517","4","250","1412","16"
"5","Justin Jefferson",MIN,"266","0","0","103","1533","10","1","3","0"
"6","Derrick Henry",BAL,"326.9","0","0","19","193","2","325","1921","16"
"7","Amon-Ra St. Brown",DET,"258.7","0","0","115","1263","12","2","6","0"
"8","Puka Nacua",LAR,"167.1","0","0","79","990","3","11","46","1"
"9","Mike Evans",TB,"203.4","0","0","74","1004","11","0","0","0"
"10","A.J. Brown",PHI,"183.4","0","0","67","1079","7","0","0","0"
"11","Nico Collins",HOU,"176.6","0","0","68","1006","7","0","0","0"
"12","Jonathan Taylor",IND,"235.7","0","0","18","136","1","303","1431","11"
"13","Kyren Williams",LAR,"255.1","0","0","34","182","2","316","1299","14"
"14","Josh Jacobs",GB,"275.1","0","0","36","342","1","301","1329","15"
"15","CeeDee Lamb",DAL,"212.9","0","0","101","1194","6","14","70","0"
"16","De'Von Achane",MIA,"260.9","0","0","78","592","6","203","907","6"
"17","Tyreek Hill",MIA,"177.7","0","0","81","959","6","8","53","0"
"18","James Conner",ARI,"230.3","0","0","47","414","1","236","1094","8"
"19","James Cook",BUF,"250.7","0","0","32","258","2","207","1009","16"
"20","Tee Higgins",CIN,"185.6","0","0","73","911","10","0","0","0"
"21","Chase Brown",CIN,"228","0","0","54","360","4","229","990","7"
"22","Joe Mixon",HOU,"222.5","0","0","36","309","1","245","1016","11"
"23","Drake London",ATL,"230.8","0","0","100","1271","9","1","-3","0"
"24","Terry McLaurin",WAS,"226.8","0","0","82","1096","13","2","2","0"
"25","Trey McBride",ARI,"194.3","0","0","111","1146","2","1","2","1"
"26","Aaron Jones Sr.",MIN,"216.1","0","0","51","408","2","255","1138","5"
"27","Davante Adams",LAR,"198.8","0","0","85","1063","8","0","0","0"
"28","Josh Allen",BUF,"385","3731","28","0","0","0","102","531","12"
"29","Lamar Jackson",BAL,"434.4","4172","41","0","0","0","139","915","4"
"30","Garrett Wilson",NYJ,"201.4","0","0","101","1104","7","2","5","0"
"31","Courtland Sutton",DEN,"199.8","0","0","81","1081","8","0","0","0"
"32","Breece Hall",NYJ,"212.4","0","0","57","483","3","209","876","5"
"33","George Kittle",SF,"197.6","0","0","78","1106","8","0","0","0"
"34","Brock Bowers",LV,"206.7","0","0","112","1194","5","5","13","0"
"35","Brian Robinson Jr.",WAS,"149.8","0","0","20","159","0","187","799","8"
"36","Chuba Hubbard",CAR,"220.1","0","0","43","171","1","250","1195","10"
"37","Rachaad White",TB,"174.1","0","0","51","393","6","144","613","3"
"38","Cooper Kupp",SEA,"141.5","0","0","67","710","6","2","10","0"
"39","Zay Flowers",BAL,"172.5","0","0","74","1059","4","9","56","0"
"40","Joe Burrow",CIN,"381.8","4918","43","0","0","0","42","201","2"
"41","Brian Thomas Jr.",JAC,"240.5","0","0","87","1282","10","6","48","0"
"42","Ladd McConkey",LAC,"199.9","0","0","82","1149","7","0","0","0"
"43","Jaxon Smith-Njigba",SEA,"203","0","0","100","1130","6","5","26","0"
"44","Malik Nabers",NYG,"219.1","0","0","109","1204","7","5","2","0"
"45","Jalen Hurts",PHI,"320.1","2903","18","0","0","0","150","630","14"
"46","Rhamondre Stevenson",NE,"159.4","0","0","33","168","1","207","801","7"
"47","DJ Moore",CHI,"189.1","0","0","98","966","6","14","75","0"
"48","Tony Pollard",TEN,"180.2","0","0","41","238","0","260","1079","5"
"49","Bucky Irving",TB,"220.9","0","0","47","392","0","207","1122","8"
"50","Jerome Ford",CLE,"115.5","0","0","37","225","0","104","565","3"
"51","Marvin Harrison Jr.",ARI,"165.5","0","0","62","885","8","0","0","0"
"52","Rico Dowdle",CAR,"178.3","0","0","39","249","3","235","1079","2"
"53","George Pickens",DAL,"134.9","0","0","59","900","3","2","-6","0"
"54","Jordan Addison",MIN,"181","0","0","63","875","9","3","20","1"
"55","Jayden Daniels",WAS,"364.8","3568","25","0","0","0","148","891","6"
"56","Isiah Pacheco",KC,"50.9","0","0","12","79","0","83","310","1"
"57","Sam LaPorta",DET,"144.6","0","0","60","726","7","0","0","0"
"58","Travis Kelce",KC,"146.9","0","0","97","823","3","1","1","0"
"59","DeVonta Smith",PHI,"165.4","0","0","68","833","8","1","1","0"
"60","DK Metcalf",PIT,"158.2","0","0","66","992","5","0","0","0"
"61","Mark Andrews",BAL,"161.3","0","0","55","673","11","4","5","0"
"62","D'Andre Swift",CHI,"193.5","0","0","42","386","0","253","959","6"
"63","Khalil Shakir",BUF,"144.5","0","0","76","821","4","2","4","0"
"64","Travis Etienne Jr.",JAC,"110.7","0","0","39","254","0","150","558","2"
"65","Calvin Ridley",TEN,"167.2","0","0","64","1017","4","8","55","1"
