Rank,Player (Bye),POS,Yahoo,Sleeper,RTSports,AVG,Real-Time
1,Jahmyr Gibbs   DET (6),RB1,1,1,1,1.0,1
2,Bijan Robinson   ATL (11),RB2,2,2,2,2.0,2
3,Ja'Marr Chase   CIN (6),WR1,3,3,3,3.0,3
4,Puka Nacua   LAR (11),WR2,4,4,4,4.0,4
5,Christian McCaffrey   SF (8),RB3,5,5,5,5.0,5
6,Jonathan Taylor   IND (13),RB4,6,6,7,6.3,6
7,Jaxon Smith-Njigba   SEA (11),WR3,7,7,6,6.7,7
8,Amon-Ra St. Brown   DET (6),WR4,8,8,8,8.0,9  -1
9,James Cook III   BUF (7),RB5,9,9,9,9.0,8  +1
10,CeeDee Lamb   DAL (14),WR5,10,10,13,11.0,11  -1
11,Justin Jefferson   MIN (6),WR6,12,12,12,12.0,14  -3
12,Saquon Barkley   PHI (10),RB6,11,11,15,12.3,10  +2
13,De'Von Achane   MIA (6),RB7,14,14,10,12.7,12  +1
14,Ashton Jeanty   LV (13),RB8,13,13,17,14.3,19  -5
15,Chase Brown   CIN (6),RB9,16,17,11,14.7,13  +2
16,Omarion Hampton   LAC (7),RB10,18,15,14,15.7,17  -1
17,Kenneth Walker III   KC (5),RB11,15,18,16,16.3,15  +2
18,Derrick Henry   BAL (13),RB12,17,16,19,17.3,16  +2
19,A.J. Brown   NE (11),WR7,24,19,18,20.3,20  -1
20,Drake London   ATL (11),WR8,19,21,21,20.3,18  +2
21,Brock Bowers   LV (13),TE1,21,22,20,21.0,21
22,Josh Allen   BUF (7),QB1,20,20,24,21.3,23  -1
23,Nico Collins   HOU (8),WR9,22,23,26,23.7,22  +1
24,Trey McBride   ARI (14),TE2,25,24,23,24.0,26  -2
25,George Pickens   DAL (14),WR10,23,25,25,24.3,24  +1
26,Kyren Williams   LAR (11),RB13,26,26,30,27.3,25  +1
27,Chris Olave   NO (8),WR11,30,31,22,27.7,27
28,Jeremiyah Love   ARI (14),RB14,27,27,29,27.7,31  -3
29,Malik Nabers   NYG (8),WR12,29,30,28,29.0,28  +1
30,Javonte Williams   DAL (14),RB15,33,33,27,31.0,30
31,DeVonta Smith   PHI (10),WR13,28,34,33,31.7,29  +2
32,Rashee Rice   KC (5),WR14,34,29,32,31.7,33  -1
33,Josh Jacobs   GB (11),RB16,32,28,37,32.3,37  -4
