"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Jahmyr Gibbs","DET","RB1","274.7","1382.7","13.8","70.9","580.8","4.1","1.1","337.3"
"Bijan Robinson","ATL","RB2","289.6","1427.4","9.5","79.6","736.4","3.8","1.8","332.2"
"Christian McCaffrey","SF","RB3","269.4","1093.3","8.7","78.4","694.1","4.6","1.1","295.6"
"Jonathan Taylor","IND","RB4","327.1","1508.1","12.9","45.1","339.2","1.5","1.7","289.8"
"Puka Nacua","LAR","WR1","13.6","85.0","1.4","117.0","1539.0","9.0","1.0","281.3"
"Ja'Marr Chase","CIN","WR2","3.0","17.0","0.0","121.1","1509.4","10.6","1.0","274.9"
"Jaxon Smith-Njigba","SEA","WR3","5.5","30.4","0.1","110.9","1569.7","9.2","1.1","268.7"
"Derrick Henry","BAL","RB5","314.0","1567.7","13.4","17.8","171.1","0.7","1.7","263.9"
"Amon-Ra St. Brown","DET","WR4","3.1","11.8","0.0","117.4","1390.4","10.5","0.4","261.2"
"De'Von Achane","MIA","RB6","238.2","1198.5","6.0","65.3","491.3","4.0","1.0","259.5"
"James Cook III","BUF","RB7","287.6","1403.9","10.3","33.3","283.7","1.9","2.4","253.8"
"Ashton Jeanty","LV","RB8","281.7","1107.8","8.0","58.7","414.2","3.3","1.1","247.6"
"Chase Brown","CIN","RB9","239.4","1039.8","7.8","63.7","427.3","3.9","1.1","246.8"
"Saquon Barkley","PHI","RB10","295.9","1299.3","8.2","41.7","330.4","2.1","1.0","243.9"
"Drake London","ATL","WR5","0.0","0.0","0.0","101.7","1328.2","9.4","1.0","238.3"
"Kenneth Walker III","KC","RB11","262.4","1189.1","8.7","45.8","352.5","1.2","0.9","234.6"
"Josh Jacobs","GB","RB12","274.0","1102.1","11.8","35.3","280.2","1.2","1.3","231.2"
"Breece Hall","NYJ","RB13","259.7","1160.0","6.5","47.4","411.6","2.2","1.7","229.9"
"Omarion Hampton","LAC","RB14","243.6","1034.2","9.4","50.2","342.3","1.9","1.0","228.9"
"Jeremiyah Love","ARI","RB15","238.3","1074.4","7.2","54.4","419.6","2.1","2.2","228.1"
"CeeDee Lamb","DAL","WR6","2.4","12.5","0.0","97.6","1296.6","7.5","0.3","224.4"
"Rashee Rice","KC","WR7","5.4","25.5","0.9","99.1","1099.7","9.7","0.6","224.2"
"Kyren Williams","LAR","RB16","240.2","1118.1","10.1","33.8","239.6","2.2","1.5","223.2"
