"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Saquon Barkley","PHI","RB1","327.8","1,661.7","10.8","41.9","318.1","2.2","1.4","273.2"
"Bijan Robinson","ATL","RB2","304.4","1,420.0","11.4","56.9","428.7","2.1","1.4","263.3"
"Jahmyr Gibbs","DET","RB3","239.9","1,239.5","11.7","57.7","508.7","2.8","1.3","258.9"
"Derrick Henry","BAL","RB4","295.2","1,508.3","13.3","16.4","153.1","0.9","1.4","248.4"
"Ja'Marr Chase","CIN","WR1","1.6","12.7","0.0","120.7","1,577.2","12.2","0.6","231.1"
"Christian McCaffrey","SF","RB5","233.2","1,062.6","7.9","65.1","570.0","3.6","1.8","228.4"
"Josh Jacobs","GB","RB6","284.2","1,211.8","11.3","38.1","316.0","1.5","1.5","226.1"
"De'Von Achane","MIA","RB7","223.3","1,032.9","7.8","69.5","513.6","4.1","1.3","223.1"
"Jonathan Taylor","IND","RB8","297.7","1,367.0","9.9","25.0","189.0","1.1","1.6","218.1"
"Ashton Jeanty","LV","RB9","273.0","1,203.8","9.0","46.3","366.3","1.9","2.4","217.4"
"Kyren Williams","LAR","RB10","275.7","1,192.4","11.2","33.7","213.7","1.7","2.3","213.1"
"Justin Jefferson","MIN","WR2","0.5","2.2","0.0","106.4","1,480.9","9.8","0.6","205.7"
"Bucky Irving","TB","RB11","234.5","1,110.7","8.3","44.4","343.2","1.7","1.4","202.5"
"Chase Brown","CIN","RB12","234.6","984.0","7.8","54.0","377.4","2.7","1.4","196.2"
"James Cook","BUF","RB13","222.0","1,049.7","9.5","31.4","258.4","1.9","1.4","196.1"
"CeeDee Lamb","DAL","WR3","9.2","59.4","0.3","111.5","1,393.6","8.0","1.0","193.2"
"Puka Nacua","LAR","WR4","10.7","61.4","0.6","104.9","1,364.0","6.9","0.6","186.4"
"Nico Collins","HOU","WR5","0.0","1.6","0.0","91.9","1,313.0","8.9","0.5","183.6"
"Malik Nabers","NYG","WR6","2.6","12.2","0.0","106.8","1,339.9","8.2","0.6","183.5"
"James Conner","ARI","RB14","213.9","971.3","7.8","41.2","314.9","1.7","1.4","182.7"
"Kenneth Walker III","SEA","RB15","236.5","974.0","8.2","43.1","307.9","1.3","1.3","182.4"
"Brian Thomas Jr.","JAC","WR7","3.8","25.1","0.0","91.8","1,292.9","8.6","0.6","182.1"
"Breece Hall","NYJ","RB16","223.1","995.9","5.9","46.2","379.1","2.1","1.9","181.6"
"Omarion Hampton","LAC","RB17","222.7","970.8","8.5","35.7","276.4","1.5","2.1","180.5"
"Amon-Ra St. Brown","DET","WR8","1.9","12.6","0.1","110.4","1,267.4","8.8","0.9","179.3"
"Alvin Kamara","NO","RB18","215.5","903.5","5.1","63.0","475.6","2.0","1.3","178.0"
"Chuba Hubbard","CAR","RB19","229.8","1,031.7","7.6","37.8","229.6","1.0","1.8","174.3"
"A.J. Brown","PHI","WR9","0.0","0.0","0.0","84.7","1,244.2","8.4","0.9","172.8"
"Drake London","ATL","WR10","0.3","2.0","0.0","95.6","1,219.0","8.1","0.6","169.8"
"Tyreek Hill","MIA","WR11","7.2","40.3","0.1","94.0","1,181.8","7.7","0.6","168.2"
"D'Andre Swift","CHI","RB20","238.7","967.1","6.2","36.4","283.0","1.2","1.1","167.2"
"David Montgomery","DET","RB21","196.6","819.0","8.9","31.4","258.4","0.9","1.0","164.5"
"Mike Evans","TB","WR12","0.0","0.0","0.0","78.8","1,059.5","9.9","0.5","164.1"
"Ladd McConkey","LAC","WR13","0.0","1.4","0.0","90.5","1,210.9","7.4","0.7","164.0"
"Tee Higgins","CIN","WR14","0.0","0.0","0.0","86.6","1,093.7","8.9","0.9","161.0"
"Terry McLaurin","WAS","WR15","1.1","4.8","0.0","83.6","1,115.1","8.2","0.9","159.6"
"Aaron Jones Sr.","MIN","RB22","198.9","890.9","4.5","45.0","331.4","2.3","1.8","159.5"
"Davante Adams","LAR","WR16","0.3","0.0","0.0","85.4","1,101.5","8.4","0.5","159.3"
"Tony Pollard","TEN","RB23","227.5","958.5","5.4","40.2","257.9","0.9","1.0","157.2"
"TreVeyon Henderson","NE","RB24","204.9","899.9","5.7","33.3","258.6","1.5","1.7","155.9"
"DK Metcalf","PIT","WR17","0.0","1.2","0.0","77.8","1,137.5","7.3","1.3","154.9"
"Marvin Harrison Jr.","ARI","WR18","0.0","3.2","0.0","79.6","1,098.8","7.7","1.0","154.5"
"Joe Mixon","HOU","RB25","200.9","801.8","7.2","32.3","249.3","1.2","0.9","154.3"
"Jaxon Smith-Njigba","SEA","WR19","2.7","20.7","0.0","94.4","1,116.5","6.6","0.6","152.4"
"Brock Bowers","LV","TE1","0.0","8.0","0.0","106.0","1,131.5","6.1","0.5","149.7"
"George Kittle","SF","TE2","0.0","0.0","0.0","76.0","1,036.9","7.5","0.5","147.6"
"Xavier Worthy","KC","WR20","15.7","84.6","1.5","70.6","872.4","7.1","0.5","146.4"
"Brian Robinson Jr.","WAS","RB26","196.7","809.4","7.3","23.4","175.7","1.0","1.4","145.6"
"Isiah Pacheco","KC","RB27","203.5","838.2","5.7","32.9","224.8","1.0","1.0","144.8"
"Zay Flowers","BAL","WR21","8.2","48.4","0.1","74.9","1,028.7","6.2","0.5","144.6"
"Garrett Wilson","NYJ","WR22","1.9","13.5","0.0","91.6","1,095.8","6.0","1.3","144.6"
"Courtland Sutton","DEN","WR23","0.0","0.2","0.0","76.7","1,016.4","7.4","0.9","144.3"
"DJ Moore","CHI","WR24","9.5","54.0","0.1","86.7","1,007.5","6.3","0.9","143.0"
"Calvin Ridley","TEN","WR25","5.6","33.4","0.3","70.1","1,027.0","6.0","0.9","141.9"
"Kaleb Johnson","PIT","RB28","197.0","829.6","6.4","23.2","178.0","1.0","1.7","141.9"
"Jameson Williams","DET","WR26","7.4","63.4","0.8","60.4","958.3","5.9","0.5","141.5"
"RJ Harvey","DEN","RB29","174.0","761.8","5.2","33.6","257.4","1.6","1.0","141.0"
"Trey McBride","ARI","TE3","0.0","1.5","0.0","104.4","1,053.1","5.8","0.5","139.4"
"Tyrone Tracy Jr.","NYG","RB30","188.6","802.0","5.0","35.2","259.8","1.1","1.6","139.2"
"DeVonta Smith","PHI","WR27","0.3","1.2","0.0","81.2","977.3","6.8","0.5","137.7"
"George Pickens","DAL","WR28","1.0","6.2","0.0","68.4","1,001.3","6.4","0.9","137.3"
"Jerry Jeudy","CLE","WR29","0.3","4.8","0.0","81.0","1,089.0","4.1","0.6","132.6"
"Deebo Samuel Sr.","WAS","WR30","30.1","127.9","1.2","65.1","834.3","5.1","1.0","132.2"
"Jaylen Warren","PIT","RB31","151.1","687.8","3.8","47.7","348.8","1.1","1.1","130.9"
"Jakobi Meyers","LV","WR31","1.2","8.9","0.0","82.4","966.4","5.3","0.5","128.5"
"Jauan Jennings","SF","WR32","3.6","15.7","0.1","70.9","936.4","5.5","0.6","127.5"
"Jaylen Waddle","MIA","WR33","2.5","15.9","0.1","75.5","964.6","4.9","0.5","126.5"
"Tetairoa McMillan","CAR","WR34","0.5","7.4","0.0","71.8","930.5","5.7","1.2","125.5"
"Jayden Reed","GB","WR35","11.8","93.7","0.7","58.2","779.7","5.5","0.9","123.1"
"Travis Hunter","JAC","WR36","3.8","21.8","0.1","68.4","887.3","5.2","0.8","121.2"
"Rashee Rice","KC","WR37","1.1","4.5","0.0","72.9","854.0","6.1","0.6","121.1"
"Ricky Pearsall","SF","WR38","7.0","50.0","0.3","61.4","833.1","5.2","0.6","120.1"
"Matthew Golden","GB","WR39","0.5","9.4","0.0","60.9","847.1","6.0","0.8","120.0"
"Chris Godwin","TB","WR40","1.2","6.9","0.0","75.0","862.4","5.6","0.6","119.7"
"Rome Odunze","CHI","WR41","1.3","8.0","0.0","65.6","880.2","5.3","0.9","119.1"
"J.K. Dobbins","DEN","RB32","148.4","658.0","4.9","29.2","187.9","1.2","1.2","118.9"
"Chris Olave","NO","WR42","0.3","2.8","0.0","76.4","946.4","4.4","1.3","118.6"
"Keon Coleman","BUF","WR43","0.3","3.8","0.0","52.4","822.4","6.1","0.5","118.3"
"Jordan Mason","MIN","RB33","163.9","754.4","4.5","17.6","128.4","0.7","0.7","117.9"
"Jordan Addison","MIN","WR44","1.2","11.2","0.3","60.9","800.0","6.0","0.4","117.7"
"Mark Andrews","BAL","TE4","0.0","2.0","0.0","59.9","721.0","7.8","0.8","117.5"
"Javonte Williams","DAL","RB34","174.9","645.7","4.2","35.9","229.2","1.1","0.9","117.4"
"Stefon Diggs","NE","WR45","1.3","6.9","0.2","77.4","850.0","5.1","0.5","116.8"
"Sam LaPorta","DET","TE5","0.0","0.0","0.0","67.9","763.7","6.8","0.4","116.3"
"Quinshon Judkins","CLE","RB35","159.5","677.1","4.4","23.2","175.5","0.9","1.3","114.8"
"Rashid Shaheed","NO","WR46","7.3","44.5","0.1","56.4","846.3","4.4","1.3","113.8"
"Cooper Kupp","SEA","WR47","1.3","9.0","0.0","73.0","814.9","5.4","0.6","113.6"
"Travis Etienne Jr.","JAC","RB36","141.1","577.1","3.7","37.7","279.0","1.2","0.9","112.7"
"Rhamondre Stevenson","NE","RB37","154.5","629.2","4.7","28.0","177.1","1.1","1.5","112.4"
"Austin Ekeler","WAS","RB38","95.3","414.8","4.1","44.7","367.1","1.8","1.0","111.2"
"Khalil Shakir","BUF","WR48","0.3","3.0","0.0","71.6","812.4","4.9","0.6","109.9"
"Zach Charbonnet","SEA","RB39","127.3","538.3","4.5","33.1","244.1","0.9","0.8","108.9"
"Darnell Mooney","ATL","WR49","0.0","1.2","0.0","58.5","818.4","4.5","0.4","108.1"
"Michael Pittman Jr.","IND","WR50","0.0","1.8","0.0","71.9","852.4","3.9","0.9","107.1"
"T.J. Hockenson","MIN","TE6","0.0","0.0","0.0","76.3","800.3","4.7","0.5","107.0"
"Travis Kelce","KC","TE7","0.0","0.5","0.0","80.8","767.3","5.3","0.9","106.7"
"Marvin Mims Jr.","DEN","WR51","11.9","49.4","0.1","51.1","696.7","5.4","0.6","106.5"
"Najee Harris","LAC","RB40","138.7","558.9","4.8","21.8","158.1","0.8","0.8","103.6"
"Rashod Bateman","BAL","WR52","0.0","0.6","0.0","45.5","691.5","5.6","0.1","102.4"
"Rachaad White","TB","RB41","114.5","462.5","2.8","37.6","282.8","2.1","1.3","101.7"
"Tyjae Spears","TEN","RB42","124.6","498.2","3.7","33.6","251.9","1.0","0.9","101.3"
"David Njoku","CLE","TE8","0.0","0.0","0.0","76.7","735.1","4.8","0.8","100.9"
"Cam Skattebo","NYG","RB43","129.4","556.0","3.6","24.8","190.9","0.9","1.2","99.4"
"Josh Downs","IND","WR53","0.3","7.0","0.0","62.9","737.3","4.3","0.5","99.1"
"Tank Bigsby","JAC","RB44","151.8","612.8","4.8","11.2","81.6","0.2","1.2","97.0"
"Marquise Brown","KC","WR54","0.3","2.0","0.0","54.8","674.4","4.5","0.2","94.0"
"Tucker Kraft","GB","TE9","0.0","0.0","0.0","55.2","652.8","4.8","0.8","92.5"
"Trey Benson","ARI","RB45","130.6","576.0","3.9","13.7","104.6","0.4","0.9","92.5"
"Keenan Allen","LAC","WR55","0.3","2.0","0.0","55.6","641.3","4.8","0.6","91.9"
"Jerome Ford","CLE","RB46","127.0","521.8","2.7","29.4","200.2","0.8","0.8","91.9"
"Cedric Tillman","CLE","WR56","0.7","0.8","0.0","55.7","697.7","3.9","0.9","91.2"
"Adam Thielen","CAR","WR57","0.0","1.8","0.0","61.8","656.9","4.4","0.5","91.2"
"Emeka Egbuka","TB","WR58","2.2","11.1","0.0","49.3","638.1","4.5","1.1","89.7"
"Tyler Warren","IND","TE10","0.0","5.5","0.0","58.7","655.3","4.3","1.1","89.4"
"Christian Kirk","HOU","WR59","0.7","4.0","0.0","53.2","685.8","3.7","0.8","89.2"
"Jaylen Wright","MIA","RB47","134.7","565.2","3.7","14.6","100.5","0.6","1.5","88.9"
"Ray Davis","BUF","RB48","118.8","499.5","3.7","12.4","105.5","1.0","0.8","87.1"
"Xavier Legette","CAR","WR60","6.2","29.0","0.1","54.3","612.0","3.8","0.5","86.4"
"Dallas Goedert","PHI","TE11","0.0","0.0","0.0","57.1","633.2","3.9","0.5","85.8"
"Tyler Allgeier","ATL","RB49","119.8","549.7","3.3","12.7","92.2","0.3","0.8","84.3"
"Brandon Aiyuk","SF","WR61","0.0","1.0","0.0","43.0","650.6","3.3","0.5","84.2"
"Zach Ertz","WAS","TE12","0.0","0.0","0.0","58.1","539.3","5.1","0.1","84.2"
"Nick Chubb","HOU","RB50","124.5","502.6","4.1","10.4","79.5","0.4","0.5","84.2"
"Dalton Kincaid","BUF","TE13","0.0","0.0","0.0","57.1","602.9","4.0","0.5","83.6"
"Jayden Higgins","HOU","WR62","0.7","4.0","0.0","46.3","618.6","3.7","0.4","83.4"
"Evan Engram","DEN","TE14","0.0","0.0","0.0","69.1","614.3","4.0","0.9","83.4"
"Kyle Pitts Sr.","ATL","TE15","0.0","0.0","0.0","47.5","599.5","3.9","0.1","83.3"
"Jaydon Blue","DAL","RB51","109.2","476.9","2.9","19.3","150.7","0.8","0.8","83.2"
"Jake Ferguson","DAL","TE16","0.0","0.0","0.0","67.8","621.9","3.8","1.2","82.6"
"Romeo Doubs","GB","WR63","0.0","0.5","0.0","45.2","575.1","4.3","0.5","82.3"
