"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","522.2","334.4","3,913.8","29.0","10.5","115.7","571.8","10.7","3.4","376.7"
"Lamar Jackson","BAL","480.6","321.2","3,923.1","32.5","8.3","134.7","827.7","3.9","4.5","375.6"
"Jalen Hurts","PHI","461.3","311.6","3,535.6","23.7","8.9","147.2","633.2","12.6","3.9","358.7"
"Jayden Daniels","WAS","536.1","364.1","3,898.3","26.9","10.7","136.5","746.6","5.6","2.5","355.8"
"Joe Burrow","CIN","626.4","433.8","4,634.2","35.9","10.5","48.2","180.1","2.1","3.8","341.6"
"Patrick Mahomes II","KC","604.8","409.7","4,272.6","30.2","12.1","76.4","371.3","2.9","2.5","328.9"
"Baker Mayfield","TB","558.5","386.9","4,192.5","33.1","14.7","64.2","287.6","2.6","3.9","321.6"
"Kyler Murray","ARI","543.2","371.0","3,856.3","24.5","11.2","88.6","551.3","5.1","3.8","319.1"
"Brock Purdy","SF","525.1","351.1","4,304.6","26.9","12.7","65.2","281.2","3.6","2.9","311.3"
"Bo Nix","DEN","560.6","366.4","3,806.8","27.3","12.1","88.7","421.9","3.5","2.0","308.8"
"Justin Fields","NYJ","504.9","313.9","3,287.0","19.6","11.0","133.1","736.8","6.0","3.8","301.1"
"J.J. McCarthy","MIN","563.4","366.9","4,085.8","28.2","14.5","57.3","258.1","2.0","3.8","291.7"
"Justin Herbert","LAC","540.3","354.1","3,977.1","25.8","8.6","65.4","272.1","2.6","2.5","291.6"
"Dak Prescott","DAL","600.4","395.2","4,249.1","27.6","12.2","42.7","179.2","1.9","3.0","291.5"
"Jared Goff","DET","550.8","381.0","4,370.6","30.3","11.5","32.7","68.9","0.6","2.9","289.2"
"Caleb Williams","CHI","562.2","357.1","3,759.3","23.6","10.3","87.4","472.1","2.4","4.5","287.4"
"C.J. Stroud","HOU","556.3","357.9","4,049.4","24.9","10.6","59.1","258.1","1.7","3.7","279.8"
"Jordan Love","GB","510.6","327.6","3,916.0","27.7","12.2","41.4","166.7","1.9","2.5","278.4"
"Trevor Lawrence","JAC","553.4","355.4","3,981.6","23.3","13.2","54.8","253.6","3.0","4.1","274.7"
"Drake Maye","NE","520.0","346.7","3,570.4","22.0","12.9","75.2","477.2","3.0","4.8","274.0"
"Matthew Stafford","LAR","564.0","370.1","4,140.8","26.5","11.0","30.0","73.4","0.7","2.8","266.6"
"Michael Penix Jr.","ATL","541.9","347.3","3,917.1","23.5","13.2","52.1","196.2","2.1","3.2","263.4"
"Tua Tagovailoa","MIA","576.5","400.0","4,149.6","26.0","12.0","26.8","85.4","0.5","3.6","262.8"
"Bryce Young","CAR","556.1","354.0","3,619.2","21.5","11.8","53.2","295.2","3.5","3.5","262.7"
"Geno Smith","LV","570.0","382.4","3,981.6","21.8","13.5","54.3","242.5","1.7","2.8","261.8"
"Sam Darnold","SEA","554.4","363.2","3,869.8","23.0","14.1","58.7","202.8","1.8","3.8","256.4"
"Cameron Ward","TEN","520.4","331.9","3,593.1","21.6","13.9","74.3","330.5","2.4","4.1","255.1"
"Aaron Rodgers","PIT","542.8","348.2","3,747.7","22.9","9.7","22.4","80.6","0.4","2.8","237.0"
"Anthony Richardson Sr.","IND","348.8","193.4","2,269.8","13.1","10.7","98.5","481.4","4.6","3.1","202.1"
"Russell Wilson","NYG","421.9","269.4","2,854.9","15.2","8.1","51.1","215.3","1.9","2.6","194.3"
"Tyler Shough","NO","424.8","265.0","2,735.4","15.3","10.7","46.8","204.2","1.5","3.0","183.2"
"Joe Flacco","CLE","359.0","224.3","2,382.0","12.1","9.8","13.1","38.3","0.4","3.4","133.2"
"Daniel Jones","IND","203.3","126.3","1,492.1","8.0","5.0","44.2","219.5","1.8","2.0","115.4"
"Spencer Rattler","NO","156.7","96.2","1,193.7","5.9","4.7","19.5","120.8","0.4","2.0","77.1"
"Jaxson Dart","NYG","123.6","77.6","849.4","4.3","3.7","14.8","71.1","0.7","1.1","56.6"
"Dillon Gabriel","CLE","126.3","79.1","753.9","3.6","2.5","11.5","43.1","0.4","0.8","47.6"
"Shedeur Sanders","CLE","112.0","68.0","666.7","3.3","2.6","13.8","41.5","0.2","0.7","40.7"
"Kenny Pickett","CLE","66.3","42.1","494.0","2.3","2.0","4.0","24.8","0.3","0.3","30.9"
"Jalen Milroe","SEA","14.3","9.0","120.5","0.8","0.8","24.0","105.8","1.0","0.3","23.0"
"Mason Rudolph","PIT","20.4","13.5","151.7","0.9","0.7","18.8","67.8","0.5","0.0","18.8"
"Jameis Winston","NYG","29.0","18.3","263.0","1.5","1.3","2.3","10.8","0.0","0.0","16.3"
"Malik Willis","GB","23.4","14.7","179.9","1.1","0.3","6.1","35.5","0.3","0.0","16.2"
"Marcus Mariota","WAS","22.6","15.2","172.3","1.1","0.3","4.5","22.3","0.0","0.0","13.1"
"Jimmy Garoppolo","LAR","22.9","14.6","179.2","1.3","0.5","1.4","6.1","0.0","0.0","12.5"
"Mac Jones","SF","25.5","16.2","197.0","1.1","0.8","2.4","9.4","0.0","0.0","12.2"
"Joshua Dobbs","NE","24.5","15.8","177.3","1.1","0.8","2.5","15.7","0.0","0.0","12.1"
